State,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Q3 2020
Oregon,25.08,25.08,156.84,218.33999999999997,259.34,262.64,337.64,438.14,885.3899999999999,1067.19,1758.14,2103.64,2513.0,3153,3153,3153,3153,3163,3213,3213,3423,3423
Pennsylvania,0.13,10.53,34.53,34.53,129.03,129.03,129.03,179.03,293.53,360.72999999999996,748.23,748.23,789.0,1340,1340,1340,1340,1369,1369,1369,1459,1459
Puerto Rico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125,125,125,125,125,125,125,125,125
Rhode Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.66,0.66,2.36,2.36,2.0,9,9,9,9,52,54,75,75,75
South Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
South Dakota,0.0,0.0,2.6,3.0140000000000002,44.264,44.264,44.264,44.264,98.26400000000001,186.764,313.164,709.164,784.0,783,783,803,977,977,977,1019,1525,1848
Tennessee,0.0,1.98,1.98,1.98,1.98,28.98,28.98,28.98,28.98,28.98,28.98,28.98,29.0,29,29,29,29,29,29,29,29,29
Texas,183.52,183.52,1095.76,1095.76,1290.26,1290.26,1992.07,2735.77,4353.37,7112.67,9403.37,10089.43,10394.0,12214,12355,14098,17713,20321,22637,24899,28843,30904
Utah,0.0,0.225,0.225,0.225,0.225,0.225,0.885,0.885,0.885,19.785,223.285,223.285,325.0,325,325,325,327,391,391,391,391,391
Vermont,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.15,6.15,46.0,119,119,119,119,119,149,149,149,149
Virginia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
Washington,0.0,0.0,180.18,228.28,243.88,240.57999999999998,389.98,818.0799999999999,1163.18,1374.9800000000002,1848.88,2104.38,2573.0,2808,2808,3075,3075,3075,3075,3075,3085,3108
West Virginia,0.0,0.0,0.0,66.0,66.0,66.0,66.0,66.0,146.0,330.0,330.0,430.5,564.0,583,583,583,583,686,686,686,686,742
Wisconsin,22.98,22.98,52.98,52.980000000000004,52.980000000000004,53.045,53.045,53.045,53.045,448.98499999999996,449.085,468.895,631.0,648,648,648,648,648,746,737,737,746
Wyoming,72.515,90.635,140.635,140.635,284.635,284.635,288.455,288.455,288.455,676.2549999999999,1099.255,1412.255,1412.0,1410,1410,1410,1410,1490,1489,1489,1589,1816
Grand Total,2472.4779999999996,2539.323,4231.773,4687.361,6349.941999999999,6723.124,9147.063999999997,11574.505,16907.049499999994,25410.042,34863.353,40266.960999999996,46916.1,60005,61108,65877,74472,82171,89077,96487,105583,111808
