,1980-85,1985-90,1990-95,1995-00,2000-05,2005-10,2010-15
count,1204.0,1195.0,416.0,1196.0,3801.0,17045.0,13492.0
mean,78.14271568106312,72.05707521338913,95.30250807692308,184.4018078929766,205.64116546172062,255.69781435494278,272.5674633619923
std,18.609393831172184,9.559586612613689,7.347924558904672,23.84956477805581,28.969915640028134,18.85371362661024,26.05558776621978
min,59.0544,59.71056,80.05152,78.08304000000001,78.08304000000001,98.424,63.9756
25%,59.71056,59.71056,98.424,164.04000000000002,196.848,262.464,262.464
50%,74.80224000000001,78.73920000000001,98.424,180.44400000000002,212.26776,262.464,262.464
75%,78.73920000000001,80.70768000000001,98.424,206.6904,219.8136,262.464,262.464
max,119.7492,82.02000000000001,141.0744,255.9024,278.868,344.48400000000004,393.696
