,p_year,t_manu,case_id
69,2002.0,Vestas,270
77,2003.0,Vestas,224
82,2004.0,Vestas,65
90,2005.0,Vestas,367
100,2006.0,Vestas,285
109,2007.0,Vestas,536
126,2008.0,Vestas,582
150,2009.0,Vestas,825
174,2010.0,Vestas,66
199,2011.0,Vestas,970
231,2012.0,Vestas,805
240,2013.0,Vestas,3
247,2014.0,Vestas,276
259,2015.0,Vestas,1400
268,2016.0,Vestas,1533
277,2017.0,Vestas,1106
284,2018.0,Vestas,1228
291,2019.0,Vestas,1205
295,2020.0,Vestas,418
19,1988.0,Wincon,1
151,2009.0,Wind Energy Solutions,1
24,1992.0,Wind World,1
12,1985.0,Windmatic,49
27,1995.0,Windmatic,1
232,2012.0,Windmatic,5
34,1997.0,Zond,12
38,1998.0,Zond,3
45,1999.0,Zond,209
