,Year,Source,Twh
148,2000-01-01,Nuclear,793.572
149,2000-01-01,Oil,119.59200000000001
150,2000-01-01,Renewables,66.583
151,2000-01-01,Solar,0.519
152,2000-01-01,Wind,5.65
153,2001-01-01,Coal,2056.984
154,2001-01-01,Gas,687.2360000000001
155,2001-01-01,Hydro,210.24
156,2001-01-01,Nuclear,809.291
157,2001-01-01,Oil,134.28
158,2001-01-01,Renewables,66.83
159,2001-01-01,Solar,0.574
160,2001-01-01,Wind,6.805
161,2002-01-01,Coal,2090.96
162,2002-01-01,Gas,743.0169999999999
163,2002-01-01,Hydro,258.168
164,2002-01-01,Nuclear,821.12
165,2002-01-01,Oil,101.685
166,2002-01-01,Renewables,71.789
167,2002-01-01,Solar,0.602
168,2002-01-01,Wind,10.459000000000001
169,2003-01-01,Coal,2139.072
170,2003-01-01,Gas,698.825
171,2003-01-01,Hydro,269.971
172,2003-01-01,Nuclear,803.929
173,2003-01-01,Oil,128.393
174,2003-01-01,Renewables,71.332
175,2003-01-01,Solar,0.611
176,2003-01-01,Wind,11.3
177,2004-01-01,Coal,2143.605
178,2004-01-01,Gas,763.548
179,2004-01-01,Hydro,262.555
180,2004-01-01,Nuclear,830.03
181,2004-01-01,Oil,130.264
182,2004-01-01,Renewables,71.945
183,2004-01-01,Solar,0.698
184,2004-01-01,Wind,14.287
185,2005-01-01,Coal,2178.857
186,2005-01-01,Gas,818.237
187,2005-01-01,Hydro,266.428
188,2005-01-01,Nuclear,823.1439999999999
189,2005-01-01,Oil,131.425
190,2005-01-01,Renewables,72.598
191,2005-01-01,Solar,0.7490000000000001
192,2005-01-01,Wind,17.99
193,2006-01-01,Coal,2155.578
194,2006-01-01,Gas,877.893
195,2006-01-01,Hydro,285.54400000000004
196,2006-01-01,Nuclear,828.6510000000001
197,2006-01-01,Oil,68.99600000000001
198,2006-01-01,Renewables,73.082
199,2006-01-01,Solar,0.8240000000000001
200,2006-01-01,Wind,26.858
201,2007-01-01,Coal,2182.698
202,2007-01-01,Gas,964.075
203,2007-01-01,Hydro,243.044
204,2007-01-01,Nuclear,848.868
205,2007-01-01,Oil,70.687
206,2007-01-01,Renewables,73.87
207,2007-01-01,Solar,1.095
208,2007-01-01,Wind,34.798
209,2008-01-01,Coal,2147.8579999999997
210,2008-01-01,Gas,949.442
211,2008-01-01,Hydro,251.054
212,2008-01-01,Nuclear,848.64
213,2008-01-01,Oil,49.723
214,2008-01-01,Renewables,73.551
215,2008-01-01,Solar,1.633
216,2008-01-01,Wind,55.922
217,2009-01-01,Coal,1899.501
218,2009-01-01,Gas,990.3
219,2009-01-01,Hydro,271.533
220,2009-01-01,Nuclear,840.9
221,2009-01-01,Oil,41.867
222,2009-01-01,Renewables,73.16
223,2009-01-01,Solar,2.076
224,2009-01-01,Wind,74.632
225,2010-01-01,Coal,1998.4979999999998
226,2010-01-01,Gas,1062.04
227,2010-01-01,Hydro,257.275
228,2010-01-01,Nuclear,849.44
229,2010-01-01,Oil,39.851
230,2010-01-01,Renewables,75.062
231,2010-01-01,Solar,3.013
232,2010-01-01,Wind,95.60799999999999
233,2011-01-01,Coal,1876.34
234,2011-01-01,Gas,1089.988
235,2011-01-01,Hydro,316.095
236,2011-01-01,Nuclear,831.794
237,2011-01-01,Oil,32.454
238,2011-01-01,Renewables,75.775
239,2011-01-01,Solar,4.739
240,2011-01-01,Wind,121.391
241,2012-01-01,Coal,1640.796
242,2012-01-01,Gas,1318.1660000000002
243,2012-01-01,Hydro,274.03
244,2012-01-01,Nuclear,809.822
245,2012-01-01,Oil,24.935
246,2012-01-01,Renewables,77.036
247,2012-01-01,Solar,9.037
248,2012-01-01,Wind,142.244
249,2013-01-01,Coal,1713.944
250,2013-01-01,Gas,1209.501
251,2013-01-01,Hydro,266.55
252,2013-01-01,Nuclear,830.544
253,2013-01-01,Oil,29.209
254,2013-01-01,Renewables,80.666
255,2013-01-01,Solar,16.04
256,2013-01-01,Wind,169.535
257,2014-01-01,Coal,1713.69
258,2014-01-01,Gas,1211.407
259,2014-01-01,Hydro,255.75099999999998
260,2014-01-01,Nuclear,839.122
